,keyword,annual_mean,annual_median,annual_std,annual_ads_no,daily_mean,daily_median,daily_std,daily_ads_no,hourly_mean,hourly_median,hourly_std,hourly_ads_no
0,python,55295.82,50000,25511.21,710,513.1,505,190.67,29,30.59,28.77,21.47,16
1,java,64011.17,60000,26208.84,556,541.17,550,164.27,47,36.99,33.77,21.48,4
2,c++,37106.59,31128.5,18726.64,776,191.28,180,109.19,13,14.37,13,6.67,126
3,rust,62141.32,51250,35844.51,127,850,850,40.82,3,16.58,12.72,11.29,14
4,golang,73066,70000,23917.69,202,597.12,575,81.48,13,50,50,0,1
5,react,58874.25,56000,19778.17,607,536.14,545,168.35,28,34.58,32.5,25.32,5
6,kotlin,71673.98,70000,26125.72,191,470.29,500,102.71,7,nan,nan,nan,0
7,scala,69396.32,70000,16412.87,128,511.88,500,130.26,8,nan,nan,nan,0
8,javascript,50441.77,45500,21124.51,733,517,500,172.01,30,18.14,12.75,12.3,20
9,php,45301.17,41500,17696.29,637,401.97,422,158.62,17,12.98,12.5,1.41,5
10,r,41748.57,37500,18657.71,434,381.11,340.25,266.32,14,12.43,11.5,4.01,50
11,aws,65243.12,62500,22596.47,679,512.89,512.5,137.48,48,32.25,30.5,26.37,4
12,azure,55091.37,52500,20291.29,913,548.39,550,139.69,89,35.58,25.96,21.23,5
13,gcp,57682.29,55000,25325.49,360,550.26,550,145.46,19,19.18,16.76,9.62,12
14,hadoop,71314.7,72500,18809.54,115,486.54,500,143.07,13,nan,nan,nan,0
15,dbt,54114.54,48139,27458.69,294,357.86,550,265.73,7,25.15,23.43,12.71,18
16,sql,45648.2,42500,18571.98,785,439.02,450,179.82,55,23.77,17,16.05,23
17,crm,37322.11,32500,17295.07,927,456.07,425,169.47,21,12.81,11.21,3.48,25
18,c#,37584.11,32038,19021.26,9,nan,nan,nan,0,13.6,13.6,0,1
19,kdb,93125,110000,21803.45,16,550,550,0,1,nan,nan,nan,0
20,matlab,47019.35,45000,15824.46,404,283.89,65,300.08,9,42.69,50,21.36,15
21,linux,49834.53,47454.5,19704.81,448,465.54,486.25,172.37,38,42.43,45.02,21.65,8
22,android,60630.1,56250,19584.89,98,409.75,377.5,195.81,8,nan,nan,nan,0
23,data scientist,65886.1,60000,32419.17,375,592.79,584.5,137.53,14,26.6,16,20.55,7
24,data engineer,58587.99,55000,21360.3,462,508.58,512.5,154.45,66,29.56,23.27,17.73,13
25,data analyst,39216.52,37147,12504.96,676,423.49,450,163.48,70,14.61,13,6.54,13
26,software engineer,52374.89,48648,22350.38,753,480,525,166.84,29,33.17,32.5,22.96,23
27,software developer,49795.46,45000,20729.29,817,472.39,500,188.6,23,36.53,40,21.32,16
28,actuarial analyst,51414.47,50000,17080.36,55,525,525,102.06,3,nan,nan,nan,0
29,actuary,78056.52,79750,27535.31,250,750,825,233.18,8,nan,nan,nan,0
30,quantitative developer,72472.58,60000,43429.04,105,687.7,600,177.61,5,5,5,0,1
31,quantitative analyst,50864.55,45000,28018.9,289,568.75,550,240.23,20,15.84,11.44,11.69,4
32,quantitative researcher,53410.08,44900,32242.84,233,532.81,537.5,194.2,8,5,5,0,1
33,cloud engineer,56452.26,52500,24371.08,631,431.48,442.5,163.45,31,6,6,0,1
34,solution architect,68022.61,67500,21331.1,400,593.93,600,122.45,76,55.5,55.5,14.5,2
35,devops,64159.03,60000,27707.44,498,506.08,525,153.67,45,63.75,63.75,3.75,4
36,nlp,72519.14,70500,21130.12,61,nan,nan,nan,0,nan,nan,nan,0
37,ai,53173.38,45000,28800.33,451,415,477,144.6,6,17.18,13.5,7.17,54
38,machine learning,56921.23,50000,27900.74,421,653.57,625,150.25,7,62.53,75,24.75,42
39,deep learning,62379.54,55000,26919.09,157,550,550,0,1,27.14,15.94,21.88,6
40,computer vision,55334.23,50000,31873.07,284,446.88,475,191.8,8,14.7,8,9.67,9
41,trading,38215.4,30875,22232.5,612,523.89,450,220.98,9,12.06,11.13,4.31,148
42,fintech,57901.38,55000,31104.94,425,449,537.5,227.34,20,13.12,11.5,6.34,7
43,insurtech,56582.61,47500,24320.41,115,nan,nan,nan,0,nan,nan,nan,0
44,blockchain,74440.5,65000,41895.32,147,625,600,54.01,3,14.28,13.5,3.37,5
45,defi,109250,112500,45214.45,13,nan,nan,nan,0,nan,nan,nan,0
46,credit risk,42872.07,39982,20096.82,509,492.85,494.25,75.97,10,10.69,10.6,2.08,13
47,cyber security,57408.09,54220,22969.4,386,538.52,597.5,252.62,40,59.38,58.75,7.58,4
48,quantum computing,52972.24,50000,25054.68,35,nan,nan,nan,0,nan,nan,nan,0
